fecha,impresiones,clicks
2024-01-01,969539,67576.8683
2024-01-02,914316,64093.5516
2024-01-03,856943,61185.7302
2024-01-04,873886,60909.8542
2024-01-05,881325,62838.4725
2024-01-06,989173,70824.7868
2024-01-07,968484,68956.0608
2024-01-08,880255,61265.748
2024-01-09,873881,59511.2961
2024-01-10,845165,56203.4725
2024-01-11,826971,53505.0237
2024-01-12,757270,50434.182
2024-01-13,879063,59512.5651
2024-01-14,820555,55961.851
2024-01-15,688119,46585.6563
2024-01-16,718886,47230.8102
2024-01-17,810528,52603.2672
2024-01-18,881113,55862.5642
2024-01-19,1042060,65128.75
2024-01-20,1222257,75657.7083
2024-01-21,1212877,75319.6617
2024-01-22,1063547,66046.2687
2024-01-23,1013165,60080.6845
2024-01-24,1028376,62525.2608
2024-01-25,1029552,61464.2544
2024-01-26,1185830,71505.549
2024-01-27,1261675,75448.165
2024-01-28,1285295,76217.9935
2024-01-29,1057149,60574.6377
2024-01-30,959014,55814.6148
2024-01-31,876056,51336.8816
2024-02-01,882522,51804.0414
2024-02-02,948283,55474.5555
2024-02-03,1047022,61250.787
2024-02-04,916419,56268.1266
2024-02-05,746596,45766.3348
2024-02-06,712452,43388.3268
2024-02-07,778334,46466.5398
2024-02-08,768590,47652.58
2024-02-09,842271,51968.1207
2024-02-10,931292,59230.1712
2024-02-11,983211,61647.3297
2024-02-12,851950,52139.34
2024-02-13,746695,45772.4035
2024-02-14,654216,40038.0192
2024-02-15,659483,42272.8603
2024-02-16,673687,44059.1298
2024-02-17,713961,47264.2182
2024-02-18,695820,45506.628
2024-02-19,621820,40604.846
2024-02-20,615110,40166.683
2024-02-21,612230,40101.065
2024-02-22,588509,38782.7431
2024-02-23,586864,39730.6928
2024-02-24,657934,45397.446
2024-02-25,651883,44849.5504
2024-02-26,508312,34819.372
2024-02-27,455919,31595.1867
2024-02-28,413966,30136.7248
2024-02-29,440507,31496.2505
2024-03-01,513197,35872.4703
2024-03-02,584467,40912.69
2024-03-03,489807,35070.1812
2024-03-04,422935,29986.0915
2024-03-05,427734,29599.1928
2024-03-06,399017,27532.173
2024-03-07,408437,29366.6203
2024-03-08,446886,31416.0858
2024-03-09,527935,37061.037
2024-03-10,503417,35490.8985
2024-03-11,437248,31000.8832
2024-03-12,434299,30444.3599
2024-03-13,425822,30531.4374
2024-03-14,406976,29912.736
2024-03-15,440347,31704.984
2024-03-16,484649,36639.4644
2024-03-17,469170,34343.244
2024-03-18,384564,27611.6952
2024-03-19,374233,27281.5857
2024-03-20,353433,26472.1317
2024-03-21,350828,25715.6924
2024-03-22,402899,29049.0179
2024-03-23,461971,33585.2917
2024-03-24,494295,36182.394
2024-03-25,421123,30362.9683
2024-03-26,386745,28155.036
2024-03-27,380947,28494.8356
2024-03-28,430869,31151.8287
2024-03-29,498289,35677.4924
2024-03-30,500298,35371.0686
2024-03-31,549252,38282.8644
2024-04-01,473273,32892.4735
2024-04-02,498010,33864.68
2024-04-03,459249,32285.2047
2024-04-04,447944,31669.6408
2024-04-05,452951,32250.1112
2024-04-06,465442,34303.0754
2024-04-07,452598,32813.355
2024-04-08,394207,27831.0142
2024-04-09,374802,26798.343
2024-04-10,365917,26528.9825
2024-04-11,371014,26601.7038
2024-04-12,433436,30600.5816
2024-04-13,513011,35602.9634
2024-04-14,513978,34282.3326
2024-04-15,421261,28013.8565
2024-04-16,397198,27128.6234
2024-04-17,403361,26702.4982
2024-04-18,430995,28100.874
2024-04-19,450614,28929.4188
2024-04-20,466220,31936.07
2024-04-21,475131,31976.3163
2024-04-22,388838,25391.1214
2024-04-23,380372,25066.5148
2024-04-24,331383,22898.5653
2024-04-25,329468,23128.6536
2024-04-26,358937,24730.7593
2024-04-27,403942,28801.0646
2024-04-28,381053,27169.0789
2024-04-29,336578,23560.46
2024-04-30,379100,25778.8
2024-05-01,389436,27143.6892
2024-05-02,392732,27334.1472
2024-05-03,440510,30527.343
2024-05-04,491739,33979.1649
2024-05-05,519267,35362.0827
2024-05-06,433597,29050.999
2024-05-07,421663,28124.9221
2024-05-08,396636,26614.2756
2024-05-09,414505,27606.033
2024-05-10,481826,31366.8726
2024-05-11,545603,36282.5995
2024-05-12,521804,34334.7032
2024-05-13,433054,28581.564
2024-05-14,404884,26843.8092
2024-05-15,375991,24928.2033
2024-05-16,343661,24056.27
2024-05-17,342603,24359.0733
2024-05-18,389587,27699.6357
2024-05-19,351744,25642.1376
2024-05-20,329392,23288.0144
2024-05-21,340363,24131.7367
2024-05-22,344920,24040.924
2024-05-23,359519,24591.0996
2024-05-24,415038,27475.5156
2024-05-25,444431,30265.7511
2024-05-26,456767,30923.1259
2024-05-27,420788,28403.19
2024-05-28,423716,27668.6548
2024-05-29,403362,27428.616
2024-05-30,407102,27560.8054
2024-05-31,398377,27408.3376
2024-06-01,399067,28373.6637
2024-06-02,378219,27534.3432
2024-06-03,337512,23423.3328
2024-06-04,319511,22653.3299
2024-06-05,313987,21727.9004
2024-06-06,315652,21906.2488
2024-06-07,382011,25365.5304
2024-06-08,409974,28657.1826
2024-06-09,424881,29231.8128
2024-06-10,382178,26026.3218
2024-06-11,388374,25671.5214
2024-06-12,413829,27519.6285
2024-06-13,410428,27703.89
2024-06-14,451287,29739.8133
2024-06-15,451615,30619.497
2024-06-16,454145,30382.3005
2024-06-17,461570,31017.504
2024-06-18,424504,29078.524
2024-06-19,410958,27780.7608
2024-06-20,427872,28710.2112
2024-06-21,468447,30823.8126
2024-06-22,424038,29852.2752
2024-06-23,430701,29976.7896
2024-06-24,386100,26602.29
2024-06-25,387200,26755.52
2024-06-26,406520,27684.012
2024-06-27,348634,24369.5166
2024-06-28,364328,25976.5864
2024-06-29,406403,28204.3682
2024-06-30,426009,29053.8138
2024-07-01,412998,27464.367
2024-07-02,399733,27541.6037
2024-07-03,384231,26780.9007
2024-07-04,365060,26284.32
2024-07-05,361923,25877.4945
2024-07-06,394167,28655.9409
2024-07-07,419504,29491.1312
2024-07-08,390021,27808.4973
2024-07-09,368166,25845.2532
2024-07-10,373998,26366.859
2024-07-11,351345,26069.799
2024-07-12,367117,26432.424
2024-07-13,398646,28383.5952
2024-07-14,367985,25942.9425
2024-07-15,341546,24693.7758
2024-07-16,320287,23252.8362
2024-07-17,282763,20952.7383
2024-07-18,295391,21474.9257
2024-07-19,319472,23161.72
2024-07-20,359102,25675.793
2024-07-21,385391,28403.3167
2024-07-22,344018,25147.7158
2024-07-23,346475,25154.085
2024-07-24,370881,26332.551
2024-07-25,343984,23906.888
2024-07-26,349763,25217.9123
2024-07-27,356641,25927.8007
2024-07-28,327561,25091.1726
2024-07-29,304986,22721.457
2024-07-30,295268,21879.3588
2024-07-31,306978,22747.0698
2024-08-01,323986,23715.7752
2024-08-02,338339,24631.0792
2024-08-03,345431,25838.2388
2024-08-04,326488,24421.3024
2024-08-05,307837,23056.9913
2024-08-06,300110,22178.129
2024-08-07,300828,22381.6032
2024-08-08,291863,21597.862
2024-08-09,327139,23586.7219
2024-08-10,374683,26527.5564
2024-08-11,359257,25866.504
2024-08-12,327858,23638.5618
2024-08-13,318048,22358.7744
2024-08-14,322911,22829.8077
2024-08-15,323933,22545.7368
2024-08-16,351261,23639.8653
2024-08-17,347778,24727.0158
2024-08-18,360333,26124.1425
2024-08-19,331106,23078.0882
2024-08-20,326966,22560.654
2024-08-21,307263,22491.6516
2024-08-22,326811,23824.5219
2024-08-23,337036,23592.52
2024-08-24,351725,25218.6825
2024-08-25,322534,24609.3442
2024-08-26,296963,21886.1731
2024-08-27,284350,20586.94
2024-08-28,279044,20258.5944
2024-08-29,320264,22834.8232
2024-08-30,346555,24258.85
2024-08-31,362056,26285.2656
2024-09-01,345499,25255.9769
2024-09-02,328357,23182.0042
2024-09-03,310912,21919.296
2024-09-04,326011,23081.5788
2024-09-05,343355,23107.7915
2024-09-06,377555,25862.5175
2024-09-07,449663,30801.9155
2024-09-08,404453,28230.8194
2024-09-09,364154,24798.8874
2024-09-10,342938,23765.6034
2024-09-11,352457,24531.0072
2024-09-12,368854,25487.8114
2024-09-13,434321,29273.2354
2024-09-14,461271,31643.1906
2024-09-15,418180,29105.328
2024-09-16,351258,23920.6698
2024-09-17,304169,21200.5793
2024-09-18,302972,21329.2288
2024-09-19,305728,21553.824
2024-09-20,328706,23568.2202
2024-09-21,353614,25743.0992
2024-09-22,344136,25087.5144
2024-09-23,298101,21314.2215
2024-09-24,319058,21823.5672
2024-09-25,327554,22437.449
2024-09-26,351922,23684.3506
2024-09-27,376533,24964.1379
2024-09-28,438108,28871.3172
2024-09-29,405964,27361.9736
2024-09-30,357845,24154.5375
2024-10-01,333762,22362.054
2024-10-02,318764,21707.8284
2024-10-03,338540,22851.45
2024-10-04,381303,25318.5192
2024-10-05,424178,27783.659
2024-10-06,354785,24763.993
2024-10-07,322082,21676.1186
2024-10-08,324240,22178.016
2024-10-09,355189,23371.4362
2024-10-10,370005,24272.328
2024-10-11,421983,27428.895
2024-10-12,490760,31359.564
2024-10-13,431639,28401.8462
2024-10-14,373017,24656.4237
2024-10-15,343677,23335.6683
2024-10-16,332513,22278.371
2024-10-17,324399,21442.7739
2024-10-18,349691,23324.3897
2024-10-19,445429,28106.5699
2024-10-20,365382,25138.2816
2024-10-21,305537,20593.1938
2024-10-22,296432,19949.8736
2024-10-23,293509,19870.5593
2024-10-24,337899,21929.6451
2024-10-25,362973,23302.8666
2024-10-26,380565,25155.3465
2024-10-27,391346,25437.49
2024-10-28,340318,21712.2884
2024-10-29,343318,21594.7022
2024-10-30,332767,21430.1948
2024-10-31,357701,21962.8414
2024-11-01,397150,25298.455
2024-11-02,416300,26476.68
2024-11-03,421448,26719.8032
2024-11-04,352977,22061.0625
2024-11-05,332122,20525.1396
2024-11-06,343108,22370.6416
2024-11-07,347701,22531.0248
2024-11-08,374375,24371.8125
2024-11-09,400065,27484.4655
2024-11-10,437294,28555.2982
2024-11-11,349911,23514.0192
2024-11-12,331047,22411.8819
2024-11-13,342511,22365.9683
2024-11-14,324473,21317.8761
2024-11-15,384361,24406.9235
2024-11-16,451524,29213.6028
2024-11-17,437814,28370.3472
2024-11-18,350923,22388.8874
2024-11-19,343543,21643.209
2024-11-20,368639,24182.7184
2024-11-21,367424,23992.7872
2024-11-22,441239,28151.0482
2024-11-23,535172,33983.422
2024-11-24,474175,30252.365
2024-11-25,397971,25470.144
2024-11-26,381442,24755.5858
2024-11-27,372951,24428.2905
2024-11-28,373798,26091.1004
2024-11-29,426014,29011.5534
2024-11-30,457682,31168.1442
2024-12-01,397472,27584.5568
2024-12-02,334398,23775.6978
2024-12-03,334626,24159.9972
2024-12-04,324788,22410.372
2024-12-05,321628,22964.2392
2024-12-06,342547,24115.3088
2024-12-07,356226,25470.159
2024-12-08,337799,24355.3079
2024-12-09,294480,20966.976
2024-12-10,295182,20928.4038
2024-12-11,300543,21218.3358
2024-12-12,322437,22377.1278
2024-12-13,359842,24721.1454
2024-12-14,375737,26226.4426
2024-12-15,336504,24194.6376
2024-12-16,291023,21186.4744
2024-12-17,287840,20465.424
2024-12-18,286325,20901.725
2024-12-19,320240,22897.16
2024-12-20,341173,24393.8695
2024-12-21,354475,25770.3325
2024-12-22,369450,26415.675
2024-12-23,372700,26126.27
2024-12-24,354795,24906.609
2024-12-25,358962,26419.6032
2024-12-26,383994,27109.9764
2024-12-27,389047,28556.0498
2024-12-28,370717,27284.7712
2024-12-29,368661,26727.9225
2024-12-30,385916,26512.4292
2024-12-31,384288,25209.2928
2025-01-01,398515,27338.129
2025-01-02,355145,25641.469
2025-01-03,356524,25027.9848
2025-01-04,371860,27071.408
2025-01-05,336473,25134.5331
2025-01-06,325031,22719.6669
2025-01-07,327119,22702.0586
2025-01-08,323370,22829.922
2025-01-09,348633,24090.5403
2025-01-10,400210,27254.301
2025-01-11,404943,29641.8276
2025-01-12,392923,28133.2868
2025-01-13,359076,24453.0756
2025-01-14,318060,22518.648
2025-01-15,309749,21806.3296
2025-01-16,319728,22636.7424
2025-01-17,369850,26111.41
2025-01-18,410242,29250.2546
2025-01-19,394097,27744.4288
2025-01-20,325719,22604.8986
2025-01-21,326201,22834.07
2025-01-22,351374,24666.4548
2025-01-23,356837,25585.2129
2025-01-24,375585,26666.535
2025-01-25,458579,32421.5353
2025-01-26,434140,31127.838
2025-01-27,377710,26892.952
2025-01-28,348241,25317.1207
2025-01-29,335471,24355.1946
2025-01-30,294852,22320.2964
2025-01-31,304687,22942.9311
2025-02-01,357464,27238.7568
2025-02-02,329799,24438.1059
2025-02-03,289036,21244.146
2025-02-04,280160,20423.664
2025-02-05,285692,20369.8396
2025-02-06,283790,20688.291
2025-02-07,340040,24550.888
2025-02-08,397134,28792.215
2025-02-09,388201,28066.9323
2025-02-10,317814,22660.1382
2025-02-11,310997,22516.1828
2025-02-12,304068,20950.2852
2025-02-13,321618,22674.069
2025-02-14,360076,25097.2972
2025-02-15,461367,31326.8193
2025-02-16,429721,29908.5816
2025-02-17,365022,24931.0026
2025-02-18,362854,24637.7866
2025-02-19,348418,23553.0568
2025-02-20,327401,22688.8893
2025-02-21,336829,24083.2735
2025-02-22,394240,28779.52
2025-02-23,415686,30220.3722
2025-02-24,333562,23883.0392
2025-02-25,314601,22242.2907
2025-02-26,313955,22698.9465
2025-02-27,346468,24668.5216
2025-02-28,358273,26261.4109
2025-03-01,387266,29006.2234
2025-03-02,378597,27789.0198
2025-03-03,343747,24577.9105
2025-03-04,331619,23113.8443
2025-03-05,309476,22003.7436
2025-03-06,297741,21348.0297
2025-03-07,304752,22399.272
2025-03-08,323822,24027.5924
2025-03-09,272195,20469.064
2025-03-10,245900,18245.78
2025-03-11,232750,18038.125
2025-03-12,239836,18155.5852
2025-03-13,211151,16723.1592
2025-03-14,256291,19811.2943
2025-03-15,299770,22632.635
2025-03-16,281763,21244.9302
2025-03-17,236971,17654.3395
2025-03-18,221062,16557.5438
2025-03-19,236281,17532.0502
2025-03-20,230930,17019.541
2025-03-21,250263,18719.6724
2025-03-22,283979,21497.2103
2025-03-23,283464,21684.996
2025-03-24,241917,17708.3244
2025-03-25,222467,16195.5976
2025-03-26,224584,16798.8832
2025-03-27,229772,16980.1508
2025-03-28,241493,18232.7215
