id,impresiones,clicks
trG37Q_jT1g,81447,4039.7712
yOTYWvyjxQ0,69853,2130.5165
4UwSGVpyejI,73236,2350.8756
ZCsozFzZq2M,80665,2444.1495
-tY0HSZQNtU,71048,1726.4664
G9u-mkpOMGQ,74165,2054.3705
GyIpQ1gNvN4,81874,3086.6498
_P_im3f7efk,82232,4753.0096
1Mj1h86--Pk,75052,2341.6224
Ns62PSkkRaI,66171,2289.5166
0MI8PeDuMPQ,61796,2199.9376
IEgUZfYO-Rw,62984,3237.3776
nPSyp4VcEZ0,76007,3731.9437
vDsCfWT8k9Q,250721,22238.9527
Zw0Z6vr8waI,71054,3140.5868
azH9OVLZTSQ,60312,1863.6408
xUoEXHg4Zq8,67928,3369.2288
PwItMdjAJn0,82232,4193.832
Znc5o7y3B0Y,75838,2608.8272
8NqhPBKOXPU,68585,4204.2605
CIrdn9fyFi8,63864,2075.58
-_9f7tIqOrw,75023,4013.7305
73gYov7s-5Y,104701,6910.266
QLvBjzy8OWw,76877,2905.9506
IW33Xs7ztEM,69292,1884.7424
xFLBMqpA9Fs,60525,2088.1125
3ZDNyyWjRCk,68214,3144.6654
f0IAwVfJOGg,62591,1896.5073
D1otp8rdeSs,75307,3125.2405
CYSEm24lYyQ,71832,2708.0664
M-Rg52tlHHo,58292,1608.8592
lYwgcubjOic,73486,2256.0202
BBBBYRmE_QE,77508,2852.2944
yyKSRV8ETr4,70900,3573.36
6yKz-7b7YIU,76625,3287.2125
2D19CHaMON4,58894,1531.244
to0jiXHoIAw,70269,3309.6699
oH5P8nyPBrY,68821,2801.0147
3oSYlMI40mk,70287,3275.3742
eRJ0Ct8BbKk,68513,2322.5907
i7qzV1ThXUA,63759,2320.8276
xm7p8Cc88xo,67411,2649.2523
XbiPWsX64WY,66925,2248.68
BJ8FBTbLQKM,1407283,84577.7083
FXoQa5yd_ik,67209,1949.061
3WSMESbGxzA,68641,3116.3014
TywajGs7VTc,74709,2465.397
7qypUGmC3FY,352397,29002.2731
dDjKvIbJ7I0,121037,8339.4493
IEXQXWuVvII,97573,4917.6792
ecR38rwsHzw,84257,2932.1436
JMMDWkN3pXA,87327,2986.5834
fkw4lkHaW4w,110974,6292.2258
06FVe3z79W4,76889,4028.9836
gNU8uxLWZU0,62911,2107.5185
VVZaINlGhj4,69624,2666.5992
eGnZ3zyzvfU,75377,2472.3656
57L8NkOO2Vw,79317,4521.069
rypLPKSM4cs,59828,1645.27
wUnSW2DVvJ4,61325,1986.93
cL1tx4pZuPE,80292,2505.1104
vPWgLUVbt4s,84976,4597.2016
nyZwDu7Y44U,74377,2558.5688
enFaytzMH8c,66538,1816.4874
NGRaiwV5HAE,61869,1911.7521
PeUWCmece6M,73878,3191.5296
X5QpKkoGWeE,80315,2578.1115
HgZBy5RXXK4,94266,5080.9374
blbD9vrU-go,84111,3053.2293
xhZzENw0wCA,106015,5152.329
QlVlwem3quM,94683,2234.5188
-0PM5tdTfCE,106467,3917.9856
37FKQCTOaSc,71412,4099.0488
QL1YW83yI74,62787,1965.2331
6ysCs8uCi_g,60132,1364.9964
N6JvVs-j4rw,61234,1977.8582
EUvApZbl5lU,70717,2864.0385
Y7vHhsKsDnI,64872,2341.8792
TaeT-HqCkr4,64951,1630.2701
bcneHm9ztek,82371,2009.8524
gLMc_hNzXLo,78079,2943.5783
KNwQFBTlEmk,75348,2622.1104
D0-01JyHDfk,87014,3454.4558
wjgQZDra80I,75040,1876.0
upHuqdRS_4Q,87018,2862.8922
BSHb6lu81bE,238812,17719.8504
IBsW2eimrFM,104999,5008.4523
YJ3Jc4qI0fo,85907,3908.7685
kZMb36mazQE,97221,2265.2493
Ulw5UyvfLi8,121553,4096.3361
HgbhX0bXqJo,118619,5278.5455
TZXrngp5N2E,131370,4111.881
CDZh2kWVPNE,179156,10229.8076
f4TEFx7jh6g,173729,6254.244
wLE1qSXBVeg,76472,2232.9824
JF7lGBUDwAw,79553,1861.5402
efN7s3uxA3c,15780,486.024
ClaictycHjk,92356,2355.078
0-koqDhuQYQ,134623,4321.3983
Q-h7WK40dBE,129492,5451.6132
terdBaBXBz0,36127,1589.588
hBg7QEnqnMQ,34158,1366.32
V2ljduUVZhY,31719,1271.9319
WUG-g_E19XA,1480039,123583.2565
3LAuNyBFcKE,66382,3272.6326
gjc21TsWSuk,61517,3783.2955
a8uA4p6aqWo,28952,1039.3768
MdgXf_JQMlA,37868,1696.4864
CMchJX_pmck,70048,3747.568
rufSXnW-Zok,70250,4755.925
8mkxXhK862Y,77235,3413.787
447hPbe6-Ww,69643,4505.9021
E60j611d5Aw,37130,954.241
2tGpF-yzfJg,84147,4358.8146
Yl-SP2Hga_U,46090,2120.14
nzhKsVG_mJk,1120440,78766.932
tWgNwRjq0Po,48339,1295.4852
u7A5VI9aIlM,59648,2248.7296
r3C_ELKfbS4,90211,4943.5628
xZr1_JKPT8E,91263,5384.517
-2RjgiRQEtk,49440,1695.792
g5vbGd2-3zY,70357,3574.1356
vA5_ANGq0gY,106090,4328.472
euG54dHTFUo,107049,6187.4322
dOR0bM-0mBw,96470,5392.673
aKJ52Y5Vh7I,147389,7723.1836
5rzaBXbg86U,99740,3141.81
oXEw7PQ_MsY,42488,1117.4344
ynr8b-K4wgU,8173,206.7769
SIrx8Fsi6FY,2452,36.0444
pXD1OYnt_2s,3250,33.15
5o_dpUX_vLg,23109,880.4529
KLD3TZJHSdI,5464,97.2592
Q7fyQrgM3Xs,24215,1024.2945
bC9sCAhgCJk,5074,63.9324
e7edITrj1fM,15322,384.5822
lbFV33ZzpRc,4207,68.9948
jNjd7KtGKpo,23602,790.667
bIUPd5ypYp8,18557,515.8846
_ynRABe-yQU,5134,118.082
fizds9MaKJQ,101039,5567.2489
zF_h6mtA2VI,4838,43.0582
A-bhOklJIQw,42717,2332.3482
-x3ySTDpZqM,18536,628.3704
5cVzkOQEc6E,17429,467.0972
ocQzVV1QTCA,4034,81.0834
ew-jPjxN_jw,25564,874.2888
BRxw3npbnM0,107882,7735.1394
gHOiV5L-GTk,47410,2972.607
jl5zPDqzSMM,20674,746.3314
MNC_Jsyumwk,3516,33.0504
AfPpEgaK5hw,6224,80.2896
E1sLOYGNXtA,19740,598.122
74QS68WLGh4,60328,4090.2384
EAkmD7CtKDU,23995,851.8225
FGtYJosJS30,22321,564.7213
MEKzDwc4kJs,5495,53.851
ketTB6ex6-k,4048,46.1472
ZG5fQ9olvws,19450,647.685
iTDVv7B5o6I,25153,933.1763
tt-eZsNkAro,50775,2528.595
qI8gVSJjM3o,9876,405.9036
6iKQ2Sp4j_U,20841,785.7057
L_fuafpo-Fs,60158,2995.8684
4M0gHjzDkg0,18257,719.3258
36j8NFLstbs,5035,109.763
BJ_QNPDXThg,121354,8798.165
XFvzr7uVXsg,46774,2652.0858
DANBlRbQgO8,21084,801.192
s15Dv7cwJno,54440,3048.64
ekkJenGOBn0,32744,998.692
JscHd15MxIg,22372,519.0304
HUg4K_hUY_U,39225,2086.77
JwJM_GSL6E8,29900,1258.79
QTIvrkBBTYc,22172,880.2284
lAK3E2ekT5I,65362,3026.2606
XEHvUmjaD6A,28447,1214.6869
RnobRdm2ze4,748,24.0108
jeABEsDUFCI,20790,696.465
L20htVdId-M,316,12.9876
sZOrlYm7tIQ,22124,980.0932
tcRYeJLh-SY,17947,538.41
xj00FDsO9m8,23409,1008.9279
5IFMUXPx13Q,38462,1611.5578
iYMPfyOR4oY,36836,2007.562
FBiNvi741tg,17950,572.605
xo3HkW3WDnQ,163980,11281.824
C_3J-pSjkQU,1986954,133920.6996
YvWr9EzMhBc,2671,59.0291
xEHE7ambM5c,2513,32.9203
ZuInEgs16R0,31651,1281.8655
Zy3-eia_IGU,1909,24.0534
FznNYHr_eok,30054,1475.6514
dCnjXSDuQMs,58898,2950.7898
bpNDRHMOrN0,31649,1171.013
Z6GDQUXHbh8,1592,18.9448
AGLHwWrB0GY,884902,55394.8652
vdxw7u65x8g,271938,21428.7144
XKRaIXNvi_M,2948,74.8792
WQoKZFf1dJk,2687,51.053
-_cxrcwuqG4,2510,45.933
7JhbacOW0LA,18881,560.7657
g5CKghK7FEs,3590,100.879
o2TcvlWieJQ,29848,1241.6768
wwPtb0FXKfE,3553,67.1517
Zwf8svpX__E,1658317,119896.3191
17GVbGF7q0E,5716,177.7676
50PLjIgIZXM,28007,1095.0737
BkmsHHK8wjY,3624,39.864
j8mojpg80BM,197403,10462.359
q4SmmuDys8k,7224,330.8592
wINYefsSWN4,738423,50286.6063
eZJc6foTiCg,6070,245.228
-iyXqYAi420,34255,1469.5395
5jKakrwB6Eo,5419,76.9498
A2T4s7YHi1o,514105,29869.5005
GuWwZhMkZjE,5252,154.934
jo8pxtUlOZ8,364686,20422.416
ozaH-JwqJOc,7572,274.8636
